Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]
hepatocyte	Rattus norvegicus	tamoxifen
hepatocyte	Rattus norvegicus	tamoxifen
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
hepatocyte	Homo sapiens	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
liver	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Rattus norvegicus	tannic acid
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
hepatocyte	Homo sapiens	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
liver	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Rattus norvegicus	terbinafine
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
hepatocyte	Homo sapiens	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
liver	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Rattus norvegicus	tetracycline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
hepatocyte	Homo sapiens	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
liver	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Rattus norvegicus	theophylline
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
hepatocyte	Homo sapiens	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
liver	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
kidney	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Rattus norvegicus	thioacetamide
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
hepatocyte	Homo sapiens	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
liver	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Rattus norvegicus	thioridazine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
hepatocyte	Homo sapiens	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
liver	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Rattus norvegicus	ticlopidine
hepatocyte	Homo sapiens	tiopronin
hepatocyte	Homo sapiens	tiopronin
